shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
KHATIB_TO_MANDAI,1.417558,103.833248,0
KHATIB_TO_MANDAI,1.41751963131252,103.833338838349,1
KHATIB_TO_MANDAI,1.41762,103.8334,2
KHATIB_TO_MANDAI,1.4182,103.83369,3
KHATIB_TO_MANDAI,1.41838,103.83333,4
KHATIB_TO_MANDAI,1.41843,103.83319,5
KHATIB_TO_MANDAI,1.41868,103.83266,6
KHATIB_TO_MANDAI,1.41875,103.83254,7
KHATIB_TO_MANDAI,1.41884,103.8324,8
KHATIB_TO_MANDAI,1.41891,103.8323,9
KHATIB_TO_MANDAI,1.419,103.83221,10
KHATIB_TO_MANDAI,1.41905,103.83216,11
KHATIB_TO_MANDAI,1.41913,103.8321,12
KHATIB_TO_MANDAI,1.4192,103.83206,13
KHATIB_TO_MANDAI,1.4193,103.83201,14
KHATIB_TO_MANDAI,1.41941,103.83196,15
KHATIB_TO_MANDAI,1.41962,103.83188,16
KHATIB_TO_MANDAI,1.41997,103.83174,17
KHATIB_TO_MANDAI,1.42012,103.83168,18
KHATIB_TO_MANDAI,1.42022,103.83164,19
KHATIB_TO_MANDAI,1.42032,103.83161,20
KHATIB_TO_MANDAI,1.4204,103.83158,21
KHATIB_TO_MANDAI,1.42051,103.83154,22
KHATIB_TO_MANDAI,1.4206,103.83152,23
KHATIB_TO_MANDAI,1.42074,103.8315,24
KHATIB_TO_MANDAI,1.42081,103.83149,25
KHATIB_TO_MANDAI,1.42096,103.83148,26
KHATIB_TO_MANDAI,1.421,103.83148,27
KHATIB_TO_MANDAI,1.42121,103.83147,28
KHATIB_TO_MANDAI,1.42206,103.83144,29
KHATIB_TO_MANDAI,1.42284,103.83141,30
KHATIB_TO_MANDAI,1.42292,103.83112,31
KHATIB_TO_MANDAI,1.42297,103.83099,32
KHATIB_TO_MANDAI,1.4231,103.83069,33
KHATIB_TO_MANDAI,1.42317,103.83054,34
KHATIB_TO_MANDAI,1.42326,103.83037,35
KHATIB_TO_MANDAI,1.42334,103.83025,36
KHATIB_TO_MANDAI,1.42342,103.83014,37
KHATIB_TO_MANDAI,1.42349,103.83005,38
KHATIB_TO_MANDAI,1.42397,103.82951,39
KHATIB_TO_MANDAI,1.42449,103.82895,40
KHATIB_TO_MANDAI,1.42453,103.82892,41
KHATIB_TO_MANDAI,1.42453,103.82891,42
KHATIB_TO_MANDAI,1.42487,103.82856,43
KHATIB_TO_MANDAI,1.42517,103.82824,44
KHATIB_TO_MANDAI,1.42531,103.82806,45
KHATIB_TO_MANDAI,1.42536,103.828,46
KHATIB_TO_MANDAI,1.42543,103.8279,47
KHATIB_TO_MANDAI,1.42552,103.82778,48
KHATIB_TO_MANDAI,1.42562,103.82764,49
KHATIB_TO_MANDAI,1.42565,103.82759,50
KHATIB_TO_MANDAI,1.42592,103.82708,51
KHATIB_TO_MANDAI,1.42602,103.82687,52
KHATIB_TO_MANDAI,1.42616,103.82658,53
KHATIB_TO_MANDAI,1.42617,103.82649,54
KHATIB_TO_MANDAI,1.42617,103.82646,55
KHATIB_TO_MANDAI,1.42616,103.82642,56
KHATIB_TO_MANDAI,1.42616,103.8264,57
KHATIB_TO_MANDAI,1.42615,103.82638,58
KHATIB_TO_MANDAI,1.42615,103.82635,59
KHATIB_TO_MANDAI,1.42614,103.82633,60
KHATIB_TO_MANDAI,1.4261,103.82626,61
KHATIB_TO_MANDAI,1.42594,103.82617,62
KHATIB_TO_MANDAI,1.42578,103.82609,63
KHATIB_TO_MANDAI,1.42548,103.82594,64
KHATIB_TO_MANDAI,1.42522,103.82583,65
KHATIB_TO_MANDAI,1.42517,103.82581,66
KHATIB_TO_MANDAI,1.42499,103.82575,67
KHATIB_TO_MANDAI,1.42482,103.82569,68
KHATIB_TO_MANDAI,1.42463,103.82564,69
KHATIB_TO_MANDAI,1.42445,103.8256,70
KHATIB_TO_MANDAI,1.42427,103.82556,71
KHATIB_TO_MANDAI,1.42379,103.82548,72
KHATIB_TO_MANDAI,1.42361,103.82545,73
KHATIB_TO_MANDAI,1.42351,103.82543,74
KHATIB_TO_MANDAI,1.42229,103.82522,75
KHATIB_TO_MANDAI,1.42223,103.82521,76
KHATIB_TO_MANDAI,1.42206,103.82518,77
KHATIB_TO_MANDAI,1.42177,103.82514,78
KHATIB_TO_MANDAI,1.42126,103.82503,79
KHATIB_TO_MANDAI,1.42122,103.82502,80
KHATIB_TO_MANDAI,1.42104,103.82499,81
KHATIB_TO_MANDAI,1.42072,103.82492,82
KHATIB_TO_MANDAI,1.42048,103.82487,83
KHATIB_TO_MANDAI,1.42018,103.82482,84
KHATIB_TO_MANDAI,1.41973,103.82475,85
KHATIB_TO_MANDAI,1.41952,103.8247,86
KHATIB_TO_MANDAI,1.41938,103.82466,87
KHATIB_TO_MANDAI,1.41902,103.82456,88
KHATIB_TO_MANDAI,1.41892,103.82453,89
KHATIB_TO_MANDAI,1.41856,103.82444,90
KHATIB_TO_MANDAI,1.41833,103.82438,91
KHATIB_TO_MANDAI,1.41742,103.82416,92
KHATIB_TO_MANDAI,1.41649,103.82392,93
KHATIB_TO_MANDAI,1.41594,103.82376,94
KHATIB_TO_MANDAI,1.41569,103.82369,95
KHATIB_TO_MANDAI,1.41523,103.82358,96
KHATIB_TO_MANDAI,1.41491,103.8235,97
KHATIB_TO_MANDAI,1.41426,103.82335,98
KHATIB_TO_MANDAI,1.41402,103.82329,99
KHATIB_TO_MANDAI,1.41379,103.82324,100
KHATIB_TO_MANDAI,1.41347,103.82318,101
KHATIB_TO_MANDAI,1.41333,103.82314,102
KHATIB_TO_MANDAI,1.41339,103.82303,103
KHATIB_TO_MANDAI,1.41343,103.82296,104
KHATIB_TO_MANDAI,1.41359,103.82268,105
KHATIB_TO_MANDAI,1.41365,103.82258,106
KHATIB_TO_MANDAI,1.41375,103.82241,107
KHATIB_TO_MANDAI,1.41379,103.82232,108
KHATIB_TO_MANDAI,1.41384,103.82222,109
KHATIB_TO_MANDAI,1.41388,103.82211,110
KHATIB_TO_MANDAI,1.41392,103.82201,111
KHATIB_TO_MANDAI,1.41397,103.82186,112
KHATIB_TO_MANDAI,1.41403,103.82166,113
KHATIB_TO_MANDAI,1.41405,103.82159,114
KHATIB_TO_MANDAI,1.41411,103.82134,115
KHATIB_TO_MANDAI,1.41413,103.82111,116
KHATIB_TO_MANDAI,1.41415,103.82098,117
KHATIB_TO_MANDAI,1.41416,103.82077,118
KHATIB_TO_MANDAI,1.41417,103.82061,119
KHATIB_TO_MANDAI,1.41417,103.82035,120
KHATIB_TO_MANDAI,1.41417,103.82022,121
KHATIB_TO_MANDAI,1.41417,103.82013,122
KHATIB_TO_MANDAI,1.41416,103.82004,123
KHATIB_TO_MANDAI,1.41413,103.8199,124
KHATIB_TO_MANDAI,1.41401,103.81922,125
KHATIB_TO_MANDAI,1.41381,103.81799,126
KHATIB_TO_MANDAI,1.41361,103.81685,127
KHATIB_TO_MANDAI,1.41359,103.81668,128
KHATIB_TO_MANDAI,1.41353,103.8163,129
KHATIB_TO_MANDAI,1.41352,103.81607,130
KHATIB_TO_MANDAI,1.41352,103.81585,131
KHATIB_TO_MANDAI,1.41353,103.81557,132
KHATIB_TO_MANDAI,1.41356,103.81527,133
KHATIB_TO_MANDAI,1.41358,103.81511,134
KHATIB_TO_MANDAI,1.41366,103.81474,135
KHATIB_TO_MANDAI,1.41377,103.81436,136
KHATIB_TO_MANDAI,1.41388,103.81404,137
KHATIB_TO_MANDAI,1.41413,103.81349,138
KHATIB_TO_MANDAI,1.41428,103.81314,139
KHATIB_TO_MANDAI,1.4144,103.81287,140
KHATIB_TO_MANDAI,1.41452,103.8126,141
KHATIB_TO_MANDAI,1.41478,103.812,142
KHATIB_TO_MANDAI,1.41501,103.81151,143
KHATIB_TO_MANDAI,1.41508,103.81131,144
KHATIB_TO_MANDAI,1.41513,103.81118,145
KHATIB_TO_MANDAI,1.41517,103.81107,146
KHATIB_TO_MANDAI,1.4152,103.81096,147
KHATIB_TO_MANDAI,1.41523,103.81083,148
KHATIB_TO_MANDAI,1.41528,103.81064,149
KHATIB_TO_MANDAI,1.4153,103.81051,150
KHATIB_TO_MANDAI,1.41532,103.81039,151
KHATIB_TO_MANDAI,1.41534,103.81022,152
KHATIB_TO_MANDAI,1.41536,103.81003,153
KHATIB_TO_MANDAI,1.41537,103.80994,154
KHATIB_TO_MANDAI,1.41537,103.80986,155
KHATIB_TO_MANDAI,1.41536,103.80978,156
KHATIB_TO_MANDAI,1.41536,103.8097,157
KHATIB_TO_MANDAI,1.41535,103.80957,158
KHATIB_TO_MANDAI,1.41534,103.80944,159
KHATIB_TO_MANDAI,1.41532,103.80936,160
KHATIB_TO_MANDAI,1.4153,103.80917,161
KHATIB_TO_MANDAI,1.41524,103.80884,162
KHATIB_TO_MANDAI,1.41513,103.80848,163
KHATIB_TO_MANDAI,1.41503,103.80826,164
KHATIB_TO_MANDAI,1.41498,103.80816,165
KHATIB_TO_MANDAI,1.41494,103.80807,166
KHATIB_TO_MANDAI,1.41489,103.80799,167
KHATIB_TO_MANDAI,1.41471,103.80766,168
KHATIB_TO_MANDAI,1.4145,103.8073,169
KHATIB_TO_MANDAI,1.41449,103.80729,170
KHATIB_TO_MANDAI,1.41439,103.80709,171
KHATIB_TO_MANDAI,1.41428,103.80685,172
KHATIB_TO_MANDAI,1.41424,103.80671,173
KHATIB_TO_MANDAI,1.4142,103.80654,174
KHATIB_TO_MANDAI,1.41419,103.8065,175
KHATIB_TO_MANDAI,1.41419,103.80644,176
KHATIB_TO_MANDAI,1.41418,103.80631,177
KHATIB_TO_MANDAI,1.41418,103.80622,178
KHATIB_TO_MANDAI,1.41418,103.80615,179
KHATIB_TO_MANDAI,1.41419,103.80607,180
KHATIB_TO_MANDAI,1.4142,103.80594,181
KHATIB_TO_MANDAI,1.41422,103.80585,182
KHATIB_TO_MANDAI,1.41425,103.80576,183
KHATIB_TO_MANDAI,1.41426,103.80572,184
KHATIB_TO_MANDAI,1.41431,103.80554,185
KHATIB_TO_MANDAI,1.41433,103.8055,186
KHATIB_TO_MANDAI,1.41437,103.80542,187
KHATIB_TO_MANDAI,1.41445,103.80529,188
KHATIB_TO_MANDAI,1.41452,103.8052,189
KHATIB_TO_MANDAI,1.41461,103.80509,190
KHATIB_TO_MANDAI,1.41468,103.805,191
KHATIB_TO_MANDAI,1.41489,103.80471,192
KHATIB_TO_MANDAI,1.415,103.80456,193
KHATIB_TO_MANDAI,1.41506,103.80449,194
KHATIB_TO_MANDAI,1.41527,103.80422,195
KHATIB_TO_MANDAI,1.41544,103.804,196
KHATIB_TO_MANDAI,1.41554,103.80387,197
KHATIB_TO_MANDAI,1.41556,103.80384,198
KHATIB_TO_MANDAI,1.4156,103.80378,199
KHATIB_TO_MANDAI,1.41579,103.80348,200
KHATIB_TO_MANDAI,1.41585,103.80339,201
KHATIB_TO_MANDAI,1.4159,103.80329,202
KHATIB_TO_MANDAI,1.41591,103.80328,203
KHATIB_TO_MANDAI,1.41597,103.80314,204
KHATIB_TO_MANDAI,1.41598,103.80311,205
KHATIB_TO_MANDAI,1.41603,103.80298,206
KHATIB_TO_MANDAI,1.41607,103.80284,207
KHATIB_TO_MANDAI,1.41609,103.80273,208
KHATIB_TO_MANDAI,1.4161,103.80264,209
KHATIB_TO_MANDAI,1.41611,103.80261,210
KHATIB_TO_MANDAI,1.41612,103.80248,211
KHATIB_TO_MANDAI,1.41612,103.80232,212
KHATIB_TO_MANDAI,1.41611,103.80214,213
KHATIB_TO_MANDAI,1.41611,103.80213,214
KHATIB_TO_MANDAI,1.41607,103.80181,215
KHATIB_TO_MANDAI,1.41605,103.8017,216
KHATIB_TO_MANDAI,1.41603,103.8016,217
KHATIB_TO_MANDAI,1.41596,103.80117,218
KHATIB_TO_MANDAI,1.41594,103.80109,219
KHATIB_TO_MANDAI,1.41593,103.80103,220
KHATIB_TO_MANDAI,1.41586,103.80075,221
KHATIB_TO_MANDAI,1.41578,103.80038,222
KHATIB_TO_MANDAI,1.41572,103.80008,223
KHATIB_TO_MANDAI,1.41562,103.79955,224
KHATIB_TO_MANDAI,1.41561,103.79954,225
KHATIB_TO_MANDAI,1.4156,103.79946,226
KHATIB_TO_MANDAI,1.41555,103.79928,227
KHATIB_TO_MANDAI,1.41544,103.79885,228
KHATIB_TO_MANDAI,1.41536,103.79854,229
KHATIB_TO_MANDAI,1.41534,103.79844,230
KHATIB_TO_MANDAI,1.41524,103.7981,231
KHATIB_TO_MANDAI,1.41521,103.79802,232
KHATIB_TO_MANDAI,1.41512,103.79769,233
KHATIB_TO_MANDAI,1.415,103.79727,234
KHATIB_TO_MANDAI,1.41481,103.79658,235
KHATIB_TO_MANDAI,1.41476,103.79641,236
KHATIB_TO_MANDAI,1.4147,103.79619,237
KHATIB_TO_MANDAI,1.41453,103.79558,238
KHATIB_TO_MANDAI,1.41438,103.79508,239
KHATIB_TO_MANDAI,1.41419,103.79451,240
KHATIB_TO_MANDAI,1.41413,103.79434,241
KHATIB_TO_MANDAI,1.41413,103.79432,242
KHATIB_TO_MANDAI,1.41407,103.79417,243
KHATIB_TO_MANDAI,1.41401,103.79399,244
KHATIB_TO_MANDAI,1.41375,103.79326,245
KHATIB_TO_MANDAI,1.41354,103.79268,246
KHATIB_TO_MANDAI,1.41338,103.79224,247
KHATIB_TO_MANDAI,1.41323,103.7918,248
KHATIB_TO_MANDAI,1.41317,103.79163,249
KHATIB_TO_MANDAI,1.41316,103.79163,250
KHATIB_TO_MANDAI,1.41311,103.79146,251
KHATIB_TO_MANDAI,1.41299,103.79112,252
KHATIB_TO_MANDAI,1.41284,103.79071,253
KHATIB_TO_MANDAI,1.41264,103.79012,254
KHATIB_TO_MANDAI,1.41261,103.79002,255
KHATIB_TO_MANDAI,1.41259,103.78993,256
KHATIB_TO_MANDAI,1.41254,103.78976,257
KHATIB_TO_MANDAI,1.41254,103.78975,258
